iter	Passed	Remaining
0	133	133682
1	138	69201
2	143	47628
3	146	36588
4	150	29971
5	154	25645
6	160	22726
7	163	20333
8	167	18492
9	172	17082
10	176	15894
11	180	14873
12	184	14035
13	189	13316
14	192	12668
15	196	12095
16	201	11667
17	205	11232
18	209	10813
19	211	10385
20	215	10026
21	216	9643
22	219	9303
23	220	8973
24	222	8676
25	224	8400
26	226	8148
27	228	7923
28	229	7687
29	230	7468
30	232	7257
31	233	7063
32	235	6899
33	237	6739
34	238	6588
35	240	6443
36	242	6311
37	244	6182
38	245	6055
39	247	5929
40	248	5808
41	249	5692
42	250	5583
43	252	5485
44	254	5411
45	257	5340
46	259	5256
47	260	5173
48	262	5088
49	263	5005
50	264	4926
51	266	4850
52	267	4784
53	270	4734
54	271	4673
55	273	4615
56	276	4568
57	277	4511
58	279	4452
59	280	4394
60	281	4337
61	284	4301
62	287	4270
63	288	4222
64	290	4174
65	291	4124
66	292	4076
67	294	4032
68	295	3990
69	297	3952
70	301	3941
71	302	3904
72	304	3866
73	305	3827
74	307	3789
75	308	3751
76	310	3717
77	311	3685
78	314	3664
79	316	3641
80	317	3606
81	319	3572
82	319	3533
83	321	3500
84	322	3471
85	323	3439
86	324	3407
87	325	3376
88	327	3352
89	329	3332
90	331	3308
91	332	3280
92	333	3253
93	334	3227
94	335	3200
95	336	3172
96	337	3145
97	338	3119
98	339	3093
99	341	3075
100	343	3057
101	344	3035
102	345	3013
103	347	2991
104	348	2970
105	349	2949
106	350	2927
107	351	2905
108	352	2883
109	353	2862
110	355	2843
111	357	2837
112	359	2819
113	360	2801
114	361	2782
115	362	2762
116	363	2741
117	364	2724
118	365	2706
119	366	2688
120	367	2670
121	368	2652
122	370	2638
123	372	2630
124	373	2615
125	374	2600
126	375	2583
127	377	2568
128	378	2555
129	379	2540
130	380	2524
131	381	2510
132	382	2494
133	383	2481
134	385	2471
135	387	2464
136	389	2452
137	390	2439
138	391	2425
139	392	2411
140	393	2397
141	394	2382
142	395	2368
143	396	2355
144	397	2342
145	398	2329
146	399	2320
147	401	2310
148	402	2298
149	403	2286
150	404	2274
151	405	2262
152	406	2250
153	407	2239
154	408	2227
155	409	2216
156	410	2204
157	411	2193
158	412	2182
159	413	2171
160	414	2161
161	416	2153
162	417	2143
163	418	2133
164	419	2123
165	420	2112
166	421	2103
167	422	2094
168	424	2085
169	425	2078
170	427	2071
171	428	2064
172	430	2059
173	432	2051
174	433	2042
175	434	2034
176	435	2025
177	436	2016
178	437	2008
179	438	1999
180	440	1992
181	441	1985
182	443	1978
183	445	1974
184	446	1967
185	448	1961
186	449	1954
187	450	1947
188	452	1940
189	453	1933
190	454	1925
191	455	1917
192	456	1909
193	458	1905
194	460	1900
195	462	1895
196	463	1889
197	465	1883
198	466	1877
199	468	1872
200	469	1868
201	471	1862
202	472	1856
203	474	1853
204	476	1847
205	477	1841
206	479	1835
207	480	1830
208	482	1825
209	483	1820
210	484	1813
211	485	1806
212	487	1801
213	490	1800
214	491	1795
215	492	1789
216	494	1783
217	495	1778
218	497	1773
219	498	1767
220	499	1761
221	500	1754
222	502	1749
223	504	1748
224	506	1744
225	507	1739
226	509	1733
227	510	1727
228	511	1722
229	512	1716
230	514	1711
231	515	1705
232	516	1700
233	518	1697
234	520	1694
235	521	1689
236	523	1684
237	524	1679
238	526	1676
239	527	1671
240	528	1665
241	529	1659
242	532	1657
243	534	1655
244	535	1651
245	537	1646
246	538	1641
247	539	1635
248	540	1631
249	542	1626
250	543	1621
251	544	1615
252	545	1610
253	547	1606
254	549	1604
255	550	1600
256	551	1595
257	552	1590
258	554	1585
259	555	1579
260	556	1574
261	557	1570
262	558	1565
263	559	1559
264	561	1556
265	563	1554
266	564	1550
267	565	1545
268	567	1541
269	568	1537
270	569	1532
271	570	1528
272	571	1523
273	572	1518
274	574	1513
275	576	1511
276	578	1508
277	579	1504
278	580	1500
279	582	1496
280	583	1493
281	585	1489
282	586	1484
283	587	1480
284	588	1475
285	589	1472
286	592	1472
287	594	1468
288	595	1464
289	596	1460
290	597	1456
291	599	1452
292	600	1449
293	602	1445
294	603	1441
295	604	1438
296	607	1437
297	608	1434
298	610	1430
299	611	1426
300	612	1422
301	614	1419
302	615	1415
303	616	1411
304	617	1406
305	618	1403
306	621	1402
307	623	1399
308	624	1396
309	625	1392
310	627	1389
311	628	1385
312	629	1381
313	630	1378
314	631	1374
315	633	1370
316	635	1369
317	637	1367
318	639	1364
319	640	1360
320	641	1357
321	643	1353
322	644	1350
323	645	1347
324	647	1345
325	649	1343
326	651	1341
327	653	1339
328	655	1336
329	656	1332
330	657	1329
331	659	1327
